Date,"3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/1997,5.36,5.45,5.51,5.66,5.68,5.71,5.77,5.75,6.02,5.93
12/30/1997,5.45,5.49,5.55,5.71,5.75,5.76,5.82,5.80,6.06,5.98
12/29/1997,5.45,5.51,5.55,5.69,5.73,5.73,5.76,5.76,6.01,5.93
12/26/1997,5.35,5.47,5.54,5.69,5.72,5.72,5.75,5.75,5.99,5.90
12/24/1997,5.38,5.49,5.54,5.67,5.71,5.72,5.76,5.76,6.00,5.91
12/23/1997,5.46,5.53,5.55,5.69,5.70,5.71,5.74,5.73,5.98,5.90
12/22/1997,5.46,5.53,5.55,5.69,5.70,5.71,5.73,5.72,5.97,5.89
12/19/1997,5.33,5.46,5.50,5.66,5.67,5.70,5.74,5.72,6.00,5.92
12/18/1997,5.24,5.42,5.49,5.68,5.69,5.74,5.78,5.76,6.03,5.94
12/17/1997,5.25,5.42,5.50,5.70,5.72,5.77,5.82,5.81,6.08,5.99
12/16/1997,5.23,5.40,5.47,5.68,5.69,5.74,5.80,5.77,6.05,5.96
12/15/1997,5.23,5.41,5.47,5.68,5.70,5.74,5.80,5.78,6.06,5.97
12/12/1997,5.18,5.35,5.42,5.63,5.67,5.71,5.76,5.74,6.03,5.94
12/11/1997,5.20,5.39,5.48,5.68,5.72,5.77,5.84,5.82,6.11,6.02
12/10/1997,5.21,5.44,5.51,5.75,5.79,5.85,5.92,5.90,6.17,6.10
12/09/1997,5.27,5.50,5.59,5.81,5.86,5.90,5.97,5.95,6.21,6.14
12/08/1997,5.29,5.55,5.63,5.85,5.87,5.92,5.98,5.96,6.21,6.14
12/05/1997,5.30,5.49,5.56,5.80,5.83,5.87,5.94,5.92,6.16,6.09
12/04/1997,5.27,5.40,5.49,5.71,5.75,5.78,5.86,5.84,6.11,6.04
12/03/1997,5.26,5.40,5.53,5.74,5.77,5.80,5.85,5.83,6.10,6.02
