Date,"3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/1998,4.48,4.55,4.53,4.54,4.55,4.56,4.73,4.65,5.39,5.09
12/30/1998,4.55,4.59,4.54,4.56,4.55,4.55,4.71,4.65,5.40,5.09
12/29/1998,4.59,4.64,4.62,4.60,4.60,4.60,4.75,4.71,5.41,5.12
12/28/1998,4.56,4.68,4.65,4.73,4.71,4.66,4.82,4.78,5.47,5.17
12/24/1998,4.57,4.70,4.72,4.78,4.76,4.74,4.89,4.86,5.55,5.23
12/23/1998,4.58,4.68,4.69,4.73,4.71,4.65,4.84,4.81,5.51,5.20
12/22/1998,4.50,4.62,4.56,4.59,4.56,4.50,4.72,4.70,5.45,5.13
12/21/1998,4.51,4.62,4.53,4.56,4.52,4.45,4.66,4.64,5.38,5.07
12/18/1998,4.49,4.55,4.48,4.45,4.43,4.38,4.58,4.58,5.32,5.01
12/17/1998,4.46,4.53,4.45,4.42,4.39,4.34,4.57,4.58,5.32,5.01
12/16/1998,4.46,4.51,4.44,4.40,4.38,4.34,4.54,4.58,5.33,5.01
12/15/1998,4.49,4.56,4.49,4.47,4.44,4.39,4.62,4.62,5.34,5.03
12/14/1998,4.49,4.56,4.47,4.42,4.39,4.35,4.56,4.58,5.30,4.99
12/11/1998,4.50,4.56,4.49,4.46,4.42,4.39,4.59,4.61,5.31,5.02
12/10/1998,4.48,4.53,4.45,4.39,4.37,4.33,4.51,4.53,5.24,4.95
12/09/1998,4.43,4.52,4.46,4.42,4.40,4.37,4.56,4.56,5.25,4.97
12/08/1998,4.43,4.54,4.49,4.46,4.43,4.40,4.61,4.60,5.29,5.00
12/07/1998,4.46,4.57,4.58,4.54,4.51,4.47,4.70,4.69,5.36,5.05
12/04/1998,4.48,4.51,4.49,4.46,4.43,4.38,4.61,4.62,5.34,5.05
12/03/1998,4.45,4.48,4.41,4.36,4.33,4.31,4.54,4.58,5.29,5.02
12/02/1998,4.48,4.49,4.41,4.36,4.34,4.31,4.54,4.59,5.28,5.03
12/01/1998,4.49,4.51,4.46,4.44,4.44,4.43,4.63,4.67,5.32,5.06
11/30/1998,4.57,4.58,4.53,4.54,4.54,4.51,4.70,4.74,5.33,5.08
11/27/1998,4.55,4.61,4.59,4.62,4.63,4.60,4.80,4.81,5.42,5.16
11/25/1998,4.57,4.63,4.60,4.66,4.64,4.63,4.81,4.83,5.45,5.19
11/24/1998,4.62,4.64,4.60,4.64,4.66,4.63,4.81,4.85,5.47,5.23
11/23/1998,4.59,4.62,4.57,4.63,4.61,4.60,4.79,4.84,5.49,5.25
11/20/1998,4.46,4.57,4.56,4.66,4.62,4.60,4.77,4.82,5.44,5.22
11/19/1998,4.46,4.55,4.55,4.66,4.64,4.63,4.81,4.85,5.45,5.25
11/18/1998,4.44,4.51,4.53,4.63,4.61,4.58,4.78,4.85,5.44,5.25
11/17/1998,4.42,4.51,4.52,4.58,4.58,4.57,4.80,4.87,5.51,5.30
11/16/1998,4.52,4.59,4.55,4.56,4.57,4.55,4.79,4.85,5.47,5.28
11/13/1998,4.47,4.54,4.52,4.54,4.56,4.53,4.78,4.82,5.46,5.26
11/12/1998,4.48,4.56,4.50,4.47,4.52,4.47,4.74,4.77,5.46,5.25
11/10/1998,4.54,4.61,4.53,4.50,4.57,4.50,4.78,4.81,5.48,5.27
11/09/1998,4.58,4.66,4.54,4.57,4.63,4.55,4.84,4.88,5.51,5.28
11/06/1998,4.64,4.70,4.64,4.59,4.65,4.58,4.92,4.93,5.63,5.37
11/05/1998,4.58,4.64,4.53,4.47,4.55,4.48,4.78,4.82,5.55,5.29
11/04/1998,4.56,4.59,4.46,4.43,4.53,4.48,4.78,4.83,5.56,5.34
11/03/1998,4.50,4.51,4.33,4.25,4.37,4.33,4.63,4.78,5.46,5.22
11/02/1998,4.54,4.53,4.33,4.26,4.39,4.39,4.63,4.77,5.49,5.23
10/30/1998,4.33,4.36,4.18,4.12,4.24,4.24,4.47,4.64,5.38,5.15
10/29/1998,4.32,4.30,4.08,4.00,4.12,4.13,4.39,4.54,5.31,5.09
10/28/1998,4.28,4.26,4.07,4.01,4.15,4.18,4.43,4.60,5.34,5.13
10/27/1998,4.06,4.14,4.04,4.12,4.20,4.23,4.48,4.63,5.33,5.08
10/26/1998,4.06,4.21,4.13,4.23,4.30,4.32,4.58,4.73,5.38,5.13
10/23/1998,3.97,4.15,4.07,4.20,4.24,4.28,4.60,4.70,5.47,5.16
10/22/1998,3.98,4.12,4.04,4.16,4.18,4.19,4.51,4.62,5.46,5.13
10/21/1998,4.00,4.08,4.02,4.12,4.17,4.17,4.49,4.59,5.41,5.08
10/20/1998,3.95,4.04,3.98,3.98,4.12,4.14,4.46,4.57,5.42,5.06
10/19/1998,3.94,3.99,3.92,3.90,4.04,4.06,4.38,4.47,5.32,4.98
10/16/1998,3.65,3.85,3.86,3.86,4.04,4.04,4.41,4.44,5.30,4.96
10/15/1998,4.15,4.27,4.25,4.13,4.27,4.23,4.56,4.58,5.40,5.02
10/14/1998,4.02,4.20,4.19,4.08,4.25,4.23,4.58,4.58,5.38,5.00
10/13/1998,3.99,4.22,4.25,4.13,4.33,4.37,4.74,4.73,5.49,5.10
10/09/1998,3.88,4.05,4.16,4.19,4.39,4.46,4.78,4.77,5.50,5.13
10/08/1998,3.89,4.12,4.11,4.10,4.24,4.29,4.57,4.56,5.29,4.99
10/07/1998,4.15,4.32,4.23,4.12,4.13,4.13,4.34,4.34,5.09,4.83
10/06/1998,4.18,4.37,4.22,4.10,4.10,4.05,4.22,4.24,5.00,4.75
10/05/1998,4.23,4.34,4.18,4.04,4.02,3.95,4.13,4.16,4.93,4.70
10/02/1998,4.22,4.37,4.29,4.17,4.13,4.08,4.23,4.31,5.05,4.85
10/01/1998,4.23,4.36,4.28,4.17,4.10,4.10,4.26,4.33,5.09,4.90
09/30/1998,4.37,4.49,4.41,4.30,4.26,4.23,4.38,4.44,5.17,4.98
09/29/1998,4.54,4.64,4.53,4.47,4.41,4.40,4.52,4.59,5.29,5.10
09/28/1998,4.56,4.61,4.53,4.45,4.42,4.40,4.53,4.61,5.33,5.15
09/25/1998,4.52,4.50,4.49,4.43,4.41,4.40,4.53,4.60,5.30,5.13
09/24/1998,4.55,4.55,4.52,4.43,4.43,4.43,4.56,4.64,5.34,5.15
09/23/1998,4.67,4.68,4.60,4.52,4.52,4.48,4.64,4.69,5.34,5.16
09/22/1998,4.81,4.87,4.72,4.66,4.62,4.57,4.69,4.73,5.36,5.16
09/21/1998,4.82,4.86,4.71,4.63,4.58,4.51,4.64,4.69,5.35,5.12
09/18/1998,4.63,4.79,4.70,4.61,4.56,4.50,4.64,4.70,5.35,5.15
09/17/1998,4.70,4.83,4.76,4.70,4.63,4.60,4.74,4.80,5.37,5.18
09/16/1998,4.74,4.89,4.78,4.75,4.71,4.69,4.82,4.88,5.38,5.23
09/15/1998,4.79,4.90,4.77,4.73,4.69,4.68,4.84,4.90,5.41,5.25
09/14/1998,4.83,4.94,4.77,4.72,4.65,4.65,4.82,4.87,5.39,5.23
09/11/1998,4.87,4.88,4.73,4.68,4.65,4.65,4.81,4.85,5.37,5.23
09/10/1998,4.78,4.76,4.60,4.57,4.51,4.55,4.72,4.76,5.33,5.18
09/09/1998,4.88,4.92,4.81,4.79,4.70,4.79,4.92,4.95,5.43,5.28
09/08/1998,4.94,4.99,4.91,4.91,4.81,4.89,5.03,5.04,5.50,5.34
09/04/1998,4.86,4.99,4.91,4.91,4.84,4.90,5.01,5.02,5.44,5.29
09/03/1998,4.83,4.97,4.90,4.91,4.82,4.91,5.02,5.03,5.46,5.31
09/02/1998,4.91,4.99,4.91,4.96,4.88,4.96,5.08,5.10,5.50,5.34
09/01/1998,4.92,4.97,4.87,4.86,4.83,4.91,5.06,5.05,5.49,5.34
08/31/1998,4.96,5.03,4.95,4.91,4.85,4.91,5.03,5.05,5.45,5.30
08/28/1998,4.91,5.01,4.96,4.93,4.89,4.94,5.09,5.09,5.51,5.37
08/27/1998,4.99,5.07,5.02,4.98,4.93,4.97,5.11,5.12,5.53,5.38
08/26/1998,5.06,5.13,5.16,5.12,5.09,5.11,5.23,5.26,5.58,5.44
08/25/1998,5.09,5.15,5.17,5.18,5.14,5.13,5.24,5.25,5.59,5.44
08/24/1998,5.08,5.15,5.18,5.22,5.18,5.19,5.30,5.30,5.62,5.48
08/21/1998,5.01,5.12,5.19,5.25,5.23,5.24,5.33,5.32,5.62,5.46
08/20/1998,5.04,5.17,5.24,5.32,5.30,5.32,5.39,5.38,5.66,5.52
08/19/1998,5.07,5.19,5.25,5.34,5.33,5.35,5.42,5.42,5.71,5.56
08/18/1998,5.06,5.20,5.26,5.36,5.30,5.35,5.42,5.41,5.70,5.56
08/17/1998,5.07,5.19,5.24,5.34,5.27,5.33,5.41,5.40,5.69,5.56
08/14/1998,5.03,5.13,5.25,5.34,5.30,5.34,5.42,5.40,5.67,5.55
08/13/1998,5.04,5.17,5.26,5.37,5.32,5.38,5.46,5.44,5.73,5.60
08/12/1998,5.02,5.14,5.21,5.32,5.29,5.34,5.43,5.40,5.70,5.62
08/11/1998,5.03,5.13,5.20,5.31,5.30,5.33,5.40,5.37,5.68,5.60
08/10/1998,5.07,5.15,5.23,5.34,5.35,5.39,5.44,5.41,5.71,5.63
08/07/1998,4.99,5.16,5.24,5.34,5.33,5.39,5.44,5.40,5.72,5.63
08/06/1998,5.03,5.20,5.30,5.39,5.38,5.43,5.49,5.44,5.76,5.67
08/05/1998,5.08,5.21,5.30,5.39,5.38,5.43,5.48,5.43,5.74,5.66
08/04/1998,5.10,5.24,5.33,5.43,5.42,5.44,5.49,5.43,5.74,5.65
08/03/1998,5.13,5.25,5.37,5.46,5.44,5.46,5.51,5.46,5.75,5.67
07/31/1998,5.10,5.21,5.38,5.49,5.48,5.52,5.56,5.50,5.81,5.72
07/30/1998,5.07,5.21,5.38,5.49,5.49,5.52,5.56,5.50,5.82,5.73
07/29/1998,5.07,5.21,5.37,5.49,5.49,5.52,5.59,5.52,5.87,5.77
07/28/1998,5.07,5.20,5.35,5.46,5.47,5.49,5.56,5.50,5.84,5.74
07/27/1998,5.06,5.22,5.36,5.48,5.47,5.49,5.54,5.47,5.81,5.70
07/24/1998,5.08,5.24,5.36,5.48,5.47,5.48,5.52,5.45,5.79,5.68
07/23/1998,5.09,5.24,5.35,5.46,5.47,5.46,5.52,5.45,5.77,5.66
07/22/1998,5.07,5.24,5.37,5.48,5.48,5.47,5.52,5.46,5.79,5.68
07/21/1998,5.09,5.25,5.37,5.46,5.47,5.46,5.52,5.45,5.78,5.67
07/20/1998,5.09,5.26,5.37,5.46,5.47,5.47,5.53,5.48,5.83,5.71
07/17/1998,5.14,5.24,5.37,5.46,5.48,5.49,5.57,5.51,5.85,5.75
07/16/1998,5.17,5.24,5.38,5.46,5.49,5.48,5.56,5.50,5.83,5.72
07/15/1998,5.14,5.22,5.35,5.46,5.47,5.46,5.53,5.48,5.82,5.70
07/14/1998,5.16,5.24,5.36,5.46,5.48,5.47,5.54,5.49,5.82,5.72
07/13/1998,5.13,5.23,5.35,5.44,5.46,5.45,5.52,5.46,5.80,5.68
07/10/1998,5.06,5.22,5.33,5.41,5.42,5.40,5.47,5.42,5.73,5.63
07/09/1998,5.07,5.23,5.33,5.43,5.42,5.40,5.46,5.41,5.71,5.60
07/08/1998,5.09,5.25,5.34,5.44,5.46,5.43,5.49,5.43,5.73,5.63
07/07/1998,5.08,5.24,5.35,5.44,5.46,5.43,5.48,5.42,5.70,5.60
07/06/1998,5.09,5.23,5.34,5.43,5.43,5.40,5.45,5.39,5.68,5.57
07/02/1998,5.07,5.17,5.35,5.44,5.46,5.43,5.47,5.42,5.70,5.60
07/01/1998,5.09,5.22,5.37,5.46,5.47,5.43,5.50,5.44,5.73,5.63
06/30/1998,5.10,5.24,5.38,5.49,5.49,5.47,5.52,5.44,5.73,5.62
06/29/1998,5.16,5.27,5.40,5.51,5.52,5.50,5.55,5.47,5.75,5.65
06/26/1998,5.01,5.29,5.40,5.51,5.53,5.49,5.53,5.46,5.74,5.64
06/25/1998,5.02,5.30,5.41,5.53,5.53,5.50,5.54,5.46,5.76,5.66
06/24/1998,5.04,5.31,5.41,5.49,5.51,5.48,5.54,5.46,5.76,5.66
06/23/1998,5.10,5.34,5.41,5.49,5.51,5.51,5.53,5.45,5.74,5.64
06/22/1998,5.11,5.34,5.41,5.52,5.50,5.52,5.54,5.46,5.77,5.66
06/19/1998,5.17,5.32,5.40,5.52,5.50,5.52,5.54,5.47,5.78,5.67
