Date,"3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/1993,3.07,3.30,3.63,4.25,4.58,5.21,5.53,5.83,6.48,6.35
12/30/1993,3.04,3.31,3.62,4.25,4.58,5.20,5.53,5.82,6.47,6.34
12/29/1993,3.08,3.30,3.60,4.20,4.51,5.12,5.44,5.74,6.38,6.25
12/28/1993,3.13,3.32,3.60,4.20,4.49,5.10,5.42,5.72,6.36,6.24
12/27/1993,3.13,3.31,3.61,4.20,4.50,5.09,5.42,5.72,6.36,6.23
12/23/1993,3.13,3.29,3.59,4.18,4.49,5.10,5.42,5.72,6.36,6.22
12/22/1993,3.13,3.30,3.59,4.19,4.50,5.13,5.46,5.74,6.37,6.22
12/21/1993,3.14,3.34,3.62,4.26,4.58,5.22,5.56,5.85,6.47,6.32
12/20/1993,3.15,3.36,3.61,4.22,4.58,5.20,5.54,5.83,6.45,6.30
12/17/1993,3.09,3.32,3.58,4.20,4.54,5.17,5.52,5.81,6.44,6.29
12/16/1993,3.10,3.33,3.60,4.23,4.58,5.20,5.56,5.84,6.47,6.31
12/15/1993,3.10,3.34,3.61,4.22,4.58,5.19,5.55,5.83,6.46,6.29
12/14/1993,3.11,3.35,3.63,4.25,4.59,5.20,5.54,5.82,6.46,6.29
12/13/1993,3.12,3.36,3.62,4.23,4.56,5.16,5.50,5.78,6.40,6.24
12/10/1993,3.12,3.34,3.62,4.21,4.53,5.13,5.45,5.73,6.34,6.19
12/09/1993,3.13,3.34,3.60,4.18,4.49,5.07,5.38,5.68,6.29,6.15
12/08/1993,3.15,3.35,3.60,4.18,4.50,5.09,5.41,5.71,6.31,6.17
12/07/1993,3.16,3.36,3.60,4.17,4.52,5.10,5.43,5.71,6.31,6.17
12/06/1993,3.18,3.36,3.57,4.19,4.50,5.09,5.43,5.72,6.31,6.17
12/03/1993,3.18,3.37,3.62,4.24,4.59,5.16,5.52,5.80,6.39,6.25
12/02/1993,3.18,3.36,3.62,4.22,4.55,5.16,5.52,5.81,6.42,6.27
12/01/1993,3.19,3.37,3.62,4.20,4.54,5.14,5.52,5.82,6.44,6.28
11/30/1993,3.21,3.40,3.65,4.22,4.55,5.15,5.53,5.83,6.46,6.29
11/29/1993,3.20,3.37,3.60,4.17,4.49,5.08,5.46,5.76,6.40,6.23
11/26/1993,3.18,3.36,3.58,4.16,4.52,5.08,5.49,5.78,6.43,6.26
11/24/1993,3.19,3.36,3.60,4.18,4.54,5.11,5.54,5.84,6.47,6.31
11/23/1993,3.19,3.37,3.60,4.19,4.55,5.14,5.52,5.82,6.46,6.30
11/22/1993,3.21,3.40,3.65,4.26,4.61,5.20,5.60,5.89,6.53,6.36
11/19/1993,3.20,3.38,3.64,4.22,4.58,5.16,5.54,5.84,6.50,6.34
11/18/1993,3.18,3.35,3.59,4.15,4.49,5.06,5.43,5.72,6.40,6.23
11/17/1993,3.16,3.33,3.55,4.09,4.42,4.99,5.35,5.65,6.35,6.19
11/16/1993,3.16,3.34,3.56,4.10,4.45,4.98,5.35,5.66,6.35,6.17
11/15/1993,3.18,3.36,3.56,4.11,4.49,5.02,5.40,5.69,6.36,6.17
11/12/1993,3.18,3.35,3.54,4.11,4.45,5.02,5.39,5.66,6.33,6.15
11/10/1993,3.19,3.36,3.56,4.17,4.51,5.08,5.45,5.72,6.38,6.21
11/09/1993,3.18,3.36,3.54,4.12,4.47,5.02,5.41,5.64,6.31,6.16
11/08/1993,3.17,3.35,3.55,4.13,4.47,5.04,5.44,5.70,6.38,6.22
11/05/1993,3.13,3.36,3.58,4.20,4.53,5.11,5.50,5.75,6.40,6.22
11/04/1993,3.15,3.34,3.55,4.13,4.47,5.03,5.42,5.67,6.34,6.19
11/03/1993,3.16,3.35,3.56,4.13,4.46,5.01,5.39,5.67,6.32,6.11
11/02/1993,3.19,3.38,3.59,4.16,4.49,5.02,5.41,5.63,6.28,6.07
11/01/1993,3.18,3.36,3.53,4.11,4.42,4.96,5.32,5.56,6.19,6.02
10/29/1993,3.10,3.28,3.47,3.99,4.30,4.83,5.19,5.43,6.12,5.96
10/28/1993,3.11,3.28,3.47,3.97,4.29,4.83,5.17,5.41,6.11,5.97
10/27/1993,3.15,3.29,3.47,3.99,4.28,4.82,5.19,5.44,6.15,6.00
10/26/1993,3.16,3.29,3.45,3.93,4.25,4.79,5.17,5.43,6.14,6.00
10/25/1993,3.14,3.28,3.45,3.95,4.26,4.82,5.21,5.47,6.17,6.02
10/22/1993,3.11,3.25,3.42,3.91,4.23,4.76,5.15,5.42,6.13,5.98
10/21/1993,3.12,3.25,3.40,3.89,4.19,4.72,5.07,5.35,6.06,5.92
10/20/1993,3.11,3.22,3.38,3.86,4.13,4.64,4.98,5.26,5.97,5.83
10/19/1993,3.13,3.24,3.39,3.86,4.14,4.66,5.00,5.27,5.98,5.85
10/18/1993,3.13,3.23,3.39,3.84,4.14,4.66,4.99,5.27,5.99,5.85
10/15/1993,3.08,3.18,3.35,3.81,4.06,4.57,4.90,5.19,5.91,5.78
10/14/1993,3.08,3.18,3.36,3.82,4.09,4.61,4.93,5.23,5.98,5.86
10/13/1993,3.10,3.20,3.36,3.84,4.11,4.64,4.98,5.27,6.03,5.92
10/12/1993,3.12,3.21,3.36,3.82,4.11,4.64,4.97,5.27,6.02,5.92
10/08/1993,3.05,3.16,3.33,3.78,4.09,4.61,4.96,5.26,6.02,5.92
10/07/1993,3.05,3.17,3.35,3.83,4.15,4.69,5.05,5.33,6.11,6.01
10/06/1993,3.04,3.19,3.36,3.85,4.16,4.70,5.05,5.35,6.12,6.01
10/05/1993,3.06,3.20,3.38,3.86,4.18,4.72,5.05,5.35,6.12,6.01
10/04/1993,3.02,3.17,3.35,3.85,4.16,4.71,5.04,5.34,6.10,5.99
10/01/1993,2.98,3.11,3.35,3.84,4.18,4.72,5.03,5.34,6.12,5.98
09/30/1993,2.98,3.13,3.39,3.89,4.24,4.79,5.11,5.40,,6.04
09/29/1993,2.99,3.15,3.36,3.84,4.19,4.74,5.03,5.35,,6.00
09/28/1993,2.96,3.12,3.32,3.79,4.11,4.67,4.98,5.28,,5.94
09/27/1993,2.96,3.10,3.32,3.81,4.12,4.69,5.01,5.30,,5.97
09/24/1993,2.99,3.15,3.39,3.90,4.22,4.81,5.14,5.42,,6.06
09/23/1993,2.99,3.15,3.39,3.87,4.22,4.80,5.15,5.42,,6.06
